resume_name,resume_type,status,last_updated
_test_Res202511_Fry_MomCorp,test,rendering_completed,2025-11-16T22:48:20.454347
_test_Res202511_Fry_MomCorp_finetuned,test,rendering_completed,2025-11-21T01:52:24.503886
